t,el1,el2
737,1.6080244,0.33370367
738,1.7504501,0.17206326
739,1.7663337,0.006102168
740,1.7556198,-0.16585818
741,1.6811584,-0.3452237
742,1.5688956,-0.5210031
743,1.4317564,-0.70755166
744,1.2806684,-0.8938117
745,1.1387874,-1.0719216
746,0.9674089,-1.247384
747,0.80095243,-1.4164574
748,0.62569416,-1.5681969
749,0.43216586,-1.7075245
750,0.23407513,-1.8131974
751,0.009597302,-1.8586721
752,-0.19852546,-1.8296069
753,-0.45505953,-1.661292
754,-0.6722763,-1.177718
755,-0.90012497,-0.47107852
756,-1.1225107,0.07936358
757,-1.3439246,0.51941407
758,-1.5529658,0.9051232
759,-1.7371478,1.2367812
760,-1.8764161,1.4658577
761,-1.9523256,1.5723397
762,-1.9347353,1.5513381
763,-1.749772,1.478965
764,-1.1785975,1.3671733
765,-0.42777726,1.248865
766,0.13002,1.1125735
767,0.5578244,0.97690266
768,0.93544114,0.83498913
769,1.2514457,0.6844454
770,1.5285505,0.53413445
771,1.6829114,0.35805848
772,1.7174462,0.21237129
773,1.7022905,0.04741336
774,1.6064458,-0.22535762
775,1.5168755,-0.2890292
776,1.4242133,-0.46794975
777,1.2838805,-0.64526457
778,1.1149292,-0.8329896
779,0.964993,-1.0169897
780,0.7930521,-1.2015377
781,0.613656,-1.3593313
782,0.4263945,-1.5232469
783,0.23950428,-1.6650175
784,0.03482498,-1.7913034
785,-0.1718639,-1.8394676
786,-0.39733058,-1.8285537
787,-0.62348086,-1.7156004
788,-0.8520703,-1.3396325
789,-1.0813891,-0.64182144
790,-1.2980237,-0.05656031
791,-1.5084172,0.42165157
792,-1.688906,0.82317
793,-1.8331375,1.1731594
794,-1.9343083,1.4443363
795,-1.9430001,1.5704533
796,-1.8177133,1.5866526
797,-1.3580098,1.5248644
798,-0.5944272,1.4173138
799,0.024031682,1.2885946
800,0.4841765,0.97618407
801,0.8692966,1.0151666
802,1.2224014,0.89182544
803,1.5146749,0.72251797
804,1.7028624,0.59600264
805,1.7622576,0.44437164
806,1.7537369,0.28040317
807,1.6968756,0.12340216
808,1.6072814,-0.0438096
809,1.4655546,-0.2250961
810,1.3350577,-0.401926
811,1.1878871,-0.5749557
812,1.0255339,-0.75934446
813,0.8566801,-0.94696003
814,0.6923058,-1.130217
815,0.5075478,-1.3082691
816,0.3151488,-1.4646366
817,0.113491,-1.6167998
818,-0.101744145,-1.7397003
819,-0.3179438,-1.8248467
820,-0.5377882,-1.8512094
821,-0.77081805,-1.7706121
822,-0.99529684,-1.5204449
823,-1.2258025,-0.91146046
824,-1.4224716,-0.27568877
825,-1.612707,0.25267082
826,-1.771785,0.6741147
827,-1.8768814,1.0418292
828,-1.9255834,1.3398765
829,-1.820846,1.5357642
830,-1.4651407,1.5769417
831,-0.7331493,1.5437595
832,-0.092196055,1.4526912
833,0.39406335,1.3440791
834,0.78759414,1.198534
835,1.1433601,1.0742905
836,1.4411994,0.93524987
837,1.6430825,0.7907955
838,1.7107869,0.6411491
839,1.7059332,0.49192446
840,1.5428581,1.1382174
841,1.6453353,0.98772734
842,1.6625634,0.8557072
843,1.6230538,0.71481806
844,1.5317625,0.5655178
845,1.4196404,0.40242705
846,1.279866,0.23769203
847,1.1344289,0.071066484
848,0.97791225,-0.098066024
849,0.82077545,-0.27759558
850,0.6487839,-0.46184754
851,0.47044224,-0.6346499
852,0.28018385,-0.84960485
853,0.08184289,-1.0075985
854,-0.121618256,-1.1870682
855,-0.3614309,-1.3476478
856,-0.5651042,-1.5013088
857,-0.78058547,-1.6132967
858,-1.0037266,-1.6940978
859,-1.2229127,-1.7200211
860,-1.4516282,-1.644358
861,-1.6344547,-1.4030495
862,-1.8032451,-0.82878476
863,-1.9306409,-0.12848611
864,-1.9861181,0.3882125
865,-1.9307139,0.823168
866,-1.650854,1.1982899
867,-1.0078138,1.4978697
868,-0.31934804,1.6881043
869,0.19966976,1.7329854
870,0.60868746,1.6915979
871,0.9655008,1.5955218
872,1.2794744,1.4843973
873,1.5187073,1.3535451
874,1.6329149,1.2295861
875,1.6464295,1.083726
876,1.6128657,0.94797117
877,1.5120853,0.80523616
878,1.4308836,0.6588531
879,1.2982819,0.5067599
880,1.1456926,0.3490516
881,0.9936964,0.18375231
882,0.8301329,0.013597656
883,0.6533378,-0.15819727
