t,el1,el2
730,-0.55286807,1.8849847
731,0.12424794,1.8839277
732,0.622138,1.8495704
733,1.0397683,1.7977146
734,1.4047267,1.7257102
735,1.7102702,1.6328374
736,1.8852023,1.5372121
737,1.9502357,1.414035
738,1.9364203,1.2895341
739,1.8510413,1.1494242
740,1.7237228,1.001522
741,1.5700786,0.8369319
742,1.4135972,0.6827686
743,1.2413182,0.5136276
744,1.06847,0.36311117
745,0.88988763,0.20845717
746,0.68893814,0.028255615
747,0.5104598,-0.11404722
748,0.29739654,-0.28467545
749,0.08167672,-0.43934777
750,-0.14257953,-0.5918379
751,-0.37375796,-0.728565
752,-0.61704713,-0.87331605
753,-0.8605796,-1.0033269
754,-1.0880077,-1.1088012
755,-1.3121201,-1.1968161
756,-1.526834,-1.2806069
757,-1.7080425,-1.338289
758,-1.8610917,-1.379013
759,-1.9385904,-1.3946077
760,-1.9196677,-1.4024642
761,-1.7231762,-1.3851326
762,-1.1209451,-1.3518955
763,-0.29187006,-1.3201087
764,0.30503553,-1.2796463
765,0.75320685,-1.2461808
766,1.1566094,-1.2139009
767,1.5170308,-1.1866554
768,1.7941599,-1.1803427
769,1.9496002,-1.1426988
770,1.9781711,-1.1255898
771,1.9478264,-1.101775
772,1.8563124,-1.1021589
773,1.7292571,-1.0972222
774,1.5771197,-1.104113
775,1.4123607,-1.1017413
776,1.2600671,-1.1127033
777,1.0732052,-1.0950307
778,0.88676935,-1.0767895
779,0.70567083,-1.0520785
780,0.4955569,-1.0112832
781,0.27944225,-0.95768744
782,0.056593012,-0.87416774
783,-0.17442288,-0.7727365
784,-0.41077718,-0.6376699
785,-0.6563783,-0.47218916
786,-0.9013738,-0.29969734
787,-1.1359558,-0.064964205
788,-1.3656276,0.18127845
789,-1.5766867,0.44047615
790,-1.7584664,0.7116529
791,-1.924856,0.9729681
792,-1.9530452,1.2093163
793,-1.9049702,1.4402162
794,-1.6743069,1.6367499
795,-0.9772797,1.7976055
796,-0.19600673,1.9303175
797,0.34652662,2.0183084
798,0.8098989,2.0739129
799,1.2065525,2.086245
800,1.5006145,2.0784461
801,1.7852155,2.0461633
802,1.886237,1.9954302
803,1.8827392,1.8838664
804,1.828634,1.8285054
805,1.7258575,1.7248381
806,1.5866567,1.602134
807,1.4243549,1.4713136
808,1.2706339,1.3300465
809,1.0969291,1.189164
810,0.9288035,1.0350018
811,0.7424882,0.8806907
812,0.5571334,0.7126444
813,0.351564,0.5477181
814,0.14303856,0.39521962
815,-0.076969236,0.23984224
816,-0.30126277,0.08550643
817,-0.53437126,-0.07463264
818,-0.76210016,-0.2220558
819,-0.9968058,-0.36949548
820,-1.2280403,-0.5020417
821,-1.4420378,-0.61757016
